timestamp,open,high,low,close,volume
2026-08-13,169.4900,169.7100,167.8350,168.3800,6707588
2026-08-12,166.4200,168.8750,165.7600,168.4400,7138254
2026-08-11,168.2800,169.6600,167.6400,168.0100,6680853
2026-08-10,165.6800,168.5000,165.5500,168.4400,6995859
2026-08-07,163.9200,165.7700,162.9150,165.6800,7971774
2026-08-06,166.1400,167.0200,163.0250,164.4500,9435137
2026-08-05,163.6400,165.3450,162.6200,164.1600,15216002
2026-08-04,162.0000,162.4900,160.9700,162.1000,15129627
2026-08-03,163.6300,164.7300,161.3500,162.2400,10986289
2026-07-31,162.3100,163.2300,160.7300,162.5500,9604930
2026-07-30,163.2500,163.9500,161.8600,163.5200,12483481
2026-07-29,167.1500,168.1550,165.7700,166.2400,11658259
2026-07-28,165.9900,168.5300,165.7500,167.2600,12774751
2026-07-27,163.0100,164.5700,162.3500,163.4000,8064899
2026-07-24,162.4700,163.2500,161.5800,162.5700,7647910
2026-07-23,159.9000,161.6100,159.3200,161.4400,6448150
2026-07-22,160.9700,160.9700,158.9450,159.4300,5599525
2026-07-21,157.5300,160.3700,157.2300,160.2500,6594892
2026-07-20,161.0000,161.4850,159.1800,159.2500,6635282
2026-07-17,161.8100,164.0000,160.8800,161.0900,9166517
2026-07-16,160.3500,162.6400,159.9400,161.8000,11819015
2026-07-15,157.3800,159.3500,157.2500,158.2900,10885301
2026-07-14,159.7800,160.0800,157.7800,158.2900,11523028
2026-07-13,160.9700,162.2400,160.3200,161.4100,6873021
2026-07-10,162.4800,162.6600,160.2400,160.8400,9497113
2026-07-09,161.8000,163.4200,161.3600,162.1700,9576421
2026-07-08,163.4150,163.9900,162.2550,162.3000,9287864
2026-07-07,164.7500,165.6050,163.8800,164.4400,12143506
2026-07-06,163.2000,163.4505,160.2500,161.9600,16123449
2026-07-02,160.6700,163.8500,160.3800,163.7400,14722268
2026-07-01,159.6100,159.9600,158.5000,159.5400,10123744
2026-06-30,161.0100,161.2500,157.9600,158.6600,11559365
2026-06-29,160.7000,161.0900,159.8800,160.7400,12934972
2026-06-26,156.3200,160.6400,156.1800,160.3400,16563846
2026-06-25,153.9500,157.2050,153.5900,155.6300,9425201
2026-06-24,153.1300,154.6700,152.4600,153.3500,10070087
2026-06-23,151.4900,152.4250,150.9950,152.1800,9479891
2026-06-22,149.3300,150.6200,149.0600,150.0600,11706140
2026-06-18,151.2700,151.2700,148.7900,149.4000,10879276
2026-06-17,152.0500,152.5650,149.9700,150.7100,10991351
2026-06-16,153.6000,153.7200,151.7202,152.9400,8629974
2026-06-15,153.7050,153.8800,151.7650,152.8900,9525268
2026-06-12,154.9700,155.1550,153.3700,153.8100,9110986
2026-06-11,153.4600,155.1591,152.8600,154.0900,10548828
2026-06-10,154.9600,155.1300,152.8200,152.8500,11712156
2026-06-09,153.4800,154.9750,153.1800,154.5700,13125457
2026-06-08,153.2400,154.4700,152.4100,152.6500,10639544
2026-06-05,153.3800,154.7000,152.9200,153.0100,20722969
2026-06-04,150.3800,152.5400,150.2900,152.0800,14051832
2026-06-03,146.1600,148.0500,146.0700,147.5500,9836036
2026-06-02,146.7500,147.2700,145.3100,146.4000,12024268
2026-06-01,148.5200,148.8800,147.2600,147.8400,12582888
2026-05-29,150.8500,151.0400,149.1000,149.4700,13199620
2026-05-28,149.1500,151.3500,149.1100,150.8800,10399827
2026-05-27,148.6900,150.2000,148.2800,148.7900,10062477
2026-05-26,149.9500,150.3010,148.4400,148.5100,6595804
2026-05-22,149.0900,150.3200,149.0000,149.8900,6916747
2026-05-21,146.9000,148.3000,145.8400,148.1500,7157022
2026-05-20,147.5400,148.0200,146.2900,147.1300,10489923
2026-05-19,145.6200,148.0700,144.8500,147.3200,12388178
2026-05-18,144.5000,145.7900,144.1200,145.7200,7949181
2026-05-15,146.7600,147.1550,144.8850,145.1000,9039914
2026-05-14,146.8500,147.4000,145.9350,146.6300,7763825
2026-05-13,145.3200,146.9750,145.1300,146.7100,15841774
2026-05-12,143.8050,146.6400,143.1900,145.8500,11897200
2026-05-11,143.7450,145.0200,142.6700,143.0400,9255725
2026-05-08,144.5900,145.0700,143.1750,143.4900,10165376
2026-05-07,145.1800,145.8400,144.2650,144.7200,7608007
