timestamp,open,high,low,close,volume
2026-08-17,156.7700,159.8600,155.8600,159.5100,6357038
2026-08-14,156.5400,157.7700,154.1506,157.4100,6322595
2026-08-13,160.2500,160.6700,156.5500,156.8600,7535064
2026-08-12,158.1400,160.0900,157.1900,159.3900,6047250
2026-08-11,158.5000,159.1800,156.7900,158.0700,6203690
2026-08-10,155.9800,158.5500,155.0000,158.0300,7454660
2026-08-07,156.8700,157.8500,154.9600,157.3700,8397115
2026-08-06,153.9500,156.8900,153.1400,154.5000,8778726
2026-08-05,153.1300,155.1200,151.4900,153.0100,8973751
2026-08-04,148.7700,152.2100,147.9400,151.8800,7841311
2026-08-03,146.9800,148.1450,143.7750,147.3100,6719045
2026-07-31,151.2000,151.7700,146.0000,147.0100,8044030
2026-07-30,148.0000,151.8400,146.7200,151.4600,6729020
2026-07-29,149.2300,151.1100,146.6700,147.9100,9051876
2026-07-28,150.5000,150.8900,147.1500,149.7800,8918955
2026-07-27,151.7600,154.2100,150.5400,150.5900,9325934
2026-07-24,152.7800,153.2800,149.9100,150.4800,7387093
2026-07-23,149.9900,153.3850,149.3300,152.2300,6647024
2026-07-22,153.6400,154.7500,151.9800,152.1100,6301228
2026-07-21,151.0200,154.7200,150.7700,154.5000,7759193
2026-07-20,154.6400,156.5400,150.8900,150.9400,7797481
2026-07-17,149.5700,155.4700,149.1500,154.2600,11572834
2026-07-16,155.0200,155.6500,150.9300,152.0000,9850628
2026-07-15,154.2530,156.3300,152.9000,156.2200,5608902
2026-07-14,155.7200,156.3200,153.7500,155.4500,8187644
2026-07-13,157.2300,157.2900,153.8700,155.3400,11350475
2026-07-10,163.8900,164.2300,156.2700,159.0300,12259955
2026-07-09,162.8000,165.7100,162.8000,164.2800,7531972
2026-07-08,162.2300,164.1400,159.4600,162.9700,10792467
2026-07-07,162.0400,164.3500,159.3500,163.8700,9548199
2026-07-06,160.2300,161.5600,158.6700,160.8100,7470556
2026-07-02,157.5100,160.8200,156.4800,160.4600,9697493
2026-07-01,157.9300,159.0000,156.1900,156.5500,7575187
2026-06-30,158.8100,160.0100,157.5200,158.2500,9017677
2026-06-29,155.5000,158.3300,154.3700,158.3100,12227932
2026-06-26,151.2300,155.9300,151.2000,155.3800,11014426
2026-06-25,149.8900,154.7000,149.8900,151.5900,12293761
2026-06-24,147.3200,151.7800,147.3200,149.7100,13715972
2026-06-23,144.1100,148.7600,144.1100,147.0300,10609990
2026-06-22,143.5300,146.7700,143.2500,145.8600,16738694
2026-06-18,142.0000,143.4600,138.7000,140.7200,9569943
2026-06-17,136.5200,141.8199,136.3600,139.3900,17203357
