timestamp,open,high,low,close,volume
2026-09-24,735.2890,742.6600,734.6200,741.1000,28292548
2026-09-23,746.9700,747.1300,738.1910,741.2100,33191777
2026-09-22,740.9800,748.3490,740.9300,747.4600,40128841
2026-09-21,727.8900,743.2200,727.8100,741.4700,46730629
2026-09-18,718.8300,721.7300,715.0800,721.4500,48478713
2026-09-17,715.9500,718.0401,713.3200,716.9200,37270287
2026-09-16,708.0000,711.8800,700.0000,704.7200,35687958
2026-09-15,708.8000,709.5299,703.6350,704.5400,26631661
2026-09-14,703.3250,712.9500,702.7400,709.1800,35218978
2026-09-11,715.6800,717.6300,713.6300,714.8800,26649142
2026-09-10,707.5500,712.0600,706.8550,708.6900,31414409
2026-09-09,716.4000,719.7000,714.0200,716.3100,26763377
2026-09-08,720.9090,721.8860,715.5700,718.3600,28341416
2026-09-04,719.3450,721.8600,716.5600,718.9600,32871076
2026-09-03,710.8500,718.9150,709.6900,717.6700,29449781
2026-09-02,707.1000,709.7988,705.1000,709.2400,23476207
2026-09-01,707.3900,712.3000,704.6600,707.6400,35236116
2026-08-31,715.1700,717.5800,713.1600,716.7600,32237181
2026-08-28,719.7400,724.1250,715.0850,716.4300,34105374
2026-08-27,716.9300,721.3500,714.5250,721.1100,28723451
2026-08-26,708.4100,713.0200,707.9700,711.3700,20392390
2026-08-25,711.2200,714.0400,707.4500,710.7200,23869646
2026-08-24,709.6600,709.7900,702.7000,706.3200,37443142
2026-08-21,715.2300,715.6738,709.2000,713.4400,33399407
2026-08-20,712.0900,714.9400,708.5200,710.9300,33396416
2026-08-19,720.3900,721.4999,712.6100,716.0800,35801712
2026-08-18,720.2100,722.1300,715.9200,717.5100,48997172
2026-08-17,732.9500,734.5800,729.2700,729.8700,26452580
2026-08-14,733.4100,734.3900,728.3200,731.0700,23790607
2026-08-13,725.1500,733.9600,724.0300,732.0700,31599737
2026-08-12,727.0800,727.2500,722.9200,723.7000,29065976
2026-08-11,723.2900,723.3500,715.5000,718.4500,29286144
2026-08-10,722.3900,724.6700,720.3300,720.8700,26243183
2026-08-07,720.1500,723.6300,716.5100,723.0300,31070371
2026-08-06,710.8200,719.3200,708.5000,714.6500,33035860
2026-08-05,726.2500,728.5400,716.9200,717.3000,33540176
2026-08-04,708.1600,725.6600,707.5300,723.8500,59778624
2026-08-03,688.3000,701.5900,685.8200,700.0700,44965071
2026-07-31,692.1100,695.7700,680.0512,687.9900,50540483
2026-07-30,674.7600,685.1200,673.3000,683.5500,66753681
2026-07-29,675.5050,680.0500,661.1400,661.7300,57233269
2026-07-28,676.2300,679.4000,667.8800,675.4900,51398741
2026-07-27,691.6800,692.3000,675.9450,682.1200,42681473
2026-07-24,690.4100,692.6300,682.4800,684.2300,42876658
2026-07-23,694.6700,698.6600,687.7900,691.9600,44028575
2026-07-22,703.6200,709.6500,703.6200,705.3500,23692181
2026-07-21,706.5700,710.0500,702.8000,708.9700,33728341
2026-07-20,702.1600,705.8000,695.5100,696.0600,29687558
2026-07-17,691.6500,702.3000,686.7600,695.3300,54109267
2026-07-16,712.0100,713.5990,702.6100,705.9400,39402024
2026-07-15,723.8500,724.3600,710.2300,717.7400,32627583
2026-07-14,720.2200,722.2900,714.3400,719.6900,29448117
2026-07-13,717.7200,718.7400,710.0800,711.7400,36552362
2026-07-10,720.7000,726.3900,717.0000,725.5100,26415898
2026-07-09,718.3300,724.2300,715.1250,723.2800,33654712
2026-07-08,704.9500,712.2599,700.9100,711.4400,35603179
2026-07-07,714.1700,716.3500,704.9000,709.4300,42483079
2026-07-06,719.9300,726.0800,718.4500,722.8200,30220428
2026-07-02,725.5800,730.8300,707.5600,712.6000,51086080
2026-07-01,729.1900,731.9200,724.6000,725.1700,40803791
2026-06-30,724.1800,737.6200,723.9100,736.4000,42121829
2026-06-29,713.9900,724.5800,705.1720,724.0800,44939090
2026-06-26,707.1300,715.5550,702.8100,706.5200,47081821
2026-06-25,725.9000,726.8300,705.3000,716.3800,50144089
