timestamp,open,high,low,close,volume
2026-08-13,110.8600,112.6050,110.8250,112.5500,5535685
2026-08-12,111.3100,111.4249,109.8950,110.2700,5534287
2026-08-11,111.5600,112.2750,111.1100,111.2700,3383346
2026-08-10,111.2400,111.8300,110.7000,111.8300,4257386
2026-08-07,110.2700,111.6850,110.2700,111.2500,3166292
2026-08-06,111.1800,111.9200,110.8000,111.1800,3904206
2026-08-05,112.8950,112.9550,109.9400,110.8700,5777003
2026-08-04,110.5350,112.2750,110.4500,112.0400,5460971
2026-08-03,109.8300,112.0100,109.7900,111.3400,7789849
2026-07-31,106.8250,108.4050,106.6100,108.2400,5024845
2026-07-30,106.4700,106.6500,105.4925,106.5800,10084230
2026-07-29,109.5100,110.7400,108.9500,109.5100,7120604
2026-07-28,108.3300,110.0300,108.3300,109.6700,5307809
2026-07-27,107.5200,108.5400,107.4400,107.6600,6668512
2026-07-24,105.2950,106.9500,105.2950,106.3000,6151978
2026-07-23,106.9600,106.9600,105.2550,105.3800,12517737
2026-07-22,110.9100,111.1050,109.1600,109.2000,3998538
2026-07-21,110.5300,110.6200,109.9900,110.0300,3945230
2026-07-20,110.8150,111.6600,110.5100,110.8000,4011947
2026-07-17,111.2000,111.5100,110.3100,110.6500,7677856
2026-07-16,113.6000,114.0300,112.2700,112.6500,5648278
2026-07-15,111.7000,113.8600,111.5300,113.3800,6245818
2026-07-14,110.8300,111.8300,110.8300,111.4500,5061520
2026-07-13,111.7800,112.7600,111.4650,111.5900,5851970
2026-07-10,111.7200,112.1600,111.0250,111.6400,6465672
2026-07-09,108.0800,110.5950,107.8200,110.5100,6444258
2026-07-08,110.9200,110.9850,109.2800,109.4600,5527899
2026-07-07,111.6700,112.2700,110.9500,111.0200,7882403
2026-07-06,110.0750,110.3750,108.9800,110.2100,8938995
2026-07-02,109.6100,110.0100,108.5500,109.6000,8388895
2026-07-01,109.0300,110.8400,108.6350,109.7400,14529759
2026-06-30,107.5250,107.6800,106.3800,107.1300,4760222
2026-06-29,108.3000,108.5100,107.6700,107.8800,6573155
2026-06-26,105.6600,107.2500,105.3600,106.1800,9352132
2026-06-25,105.6800,106.6300,105.0300,105.5800,5323054
2026-06-24,107.5250,108.0850,106.4500,106.5400,9075460
2026-06-23,106.5200,107.6450,106.3900,107.2700,7949732
2026-06-22,108.1250,108.5350,106.3200,106.8600,7382278
2026-06-18,109.8600,110.3700,108.5100,109.4500,11656037
2026-06-17,111.4790,111.4900,109.0150,109.2000,9639823
2026-06-16,112.2400,112.5900,111.4100,112.3200,7896636
2026-06-15,111.9200,112.5900,111.5900,112.1900,6585183
2026-06-12,112.9100,112.9900,110.8300,111.6500,7465892
2026-06-11,110.8900,112.5200,110.2200,112.1200,5931783
2026-06-10,111.5900,112.4500,110.9300,111.0100,5435428
2026-06-09,111.4800,112.2300,110.4800,111.4800,6589252
2026-06-08,111.4100,111.4650,110.1200,111.0900,9077918
2026-06-05,112.7900,113.3600,111.1350,111.6700,9005169
2026-06-04,112.7400,114.3650,112.6900,113.1100,6056253
2026-06-03,113.2400,113.4300,111.7600,112.0800,6066847
2026-06-02,114.7550,114.9000,113.5200,113.5700,6494278
2026-06-01,115.4250,116.0450,114.8150,115.6100,5270359
2026-05-29,115.9300,116.0500,115.1400,115.6900,5493815
2026-05-28,116.1000,116.8400,115.5500,116.6700,4528352
2026-05-27,115.2300,117.0550,115.1600,116.2600,5747833
2026-05-26,115.6300,116.0750,115.0700,115.5500,4191559
2026-05-22,116.4100,116.7300,115.2350,115.4600,4108668
2026-05-21,115.4700,116.8550,114.9900,116.1000,4855441
2026-05-20,115.6500,116.2150,114.8100,116.1000,5109114
2026-05-19,116.9500,117.1400,115.7150,115.8500,5163970
2026-05-18,116.0400,117.8200,115.8500,116.9800,5125630
2026-05-15,116.9100,117.0400,115.9800,116.0800,4295097
2026-05-14,117.1000,117.9700,116.9350,117.1100,3558209
2026-05-13,115.5220,117.0300,115.3500,116.7600,4061541
2026-05-12,115.6800,115.9550,114.9700,115.8600,5336320
2026-05-11,116.5200,116.7200,115.4300,115.5800,4729316
2026-05-08,117.0150,117.1900,116.6150,116.9400,4153817
2026-05-07,117.6300,118.2000,117.0350,117.3800,4333582
2026-05-06,116.2200,117.6100,116.2200,117.3500,6220562
2026-05-05,116.3100,116.3100,115.1910,115.6300,5299186
2026-05-04,116.6250,116.7700,115.9600,116.1000,5485783
2026-05-01,116.8350,117.3000,116.5900,116.7200,7556010
2026-04-30,115.0000,116.6700,114.7000,116.5100,5276495
2026-04-29,115.5400,115.7800,115.0650,115.2900,4401793
2026-04-28,115.8550,116.2300,115.3200,115.7500,4052235
2026-04-27,115.4100,116.7500,115.4100,115.8100,4506265
2026-04-24,117.2100,117.2200,115.0900,115.5400,4858114
2026-04-23,117.9700,118.1900,116.5200,117.3900,3503596
2026-04-22,117.6500,117.9800,117.2850,117.8800,3079747
2026-04-21,118.8000,119.1300,116.9900,117.1600,3862281
2026-04-20,118.7400,119.1000,118.5200,118.7500,3297295
2026-04-17,118.6400,119.4800,118.3500,119.1000,3176982
2026-04-16,117.9000,118.9250,117.8300,118.8300,3708316
2026-04-15,116.8500,118.1200,116.7424,117.3600,5140117
2026-04-14,115.0100,116.8350,114.8400,116.5600,5396634
2026-04-13,113.6350,114.8600,113.2700,114.8200,5063767
2026-04-10,114.6400,114.8600,113.6801,113.9500,2667986
2026-04-09,113.7950,114.4700,113.2150,114.2700,4176739
2026-04-08,114.2600,114.4850,113.2100,113.8100,4579407
2026-04-07,111.5700,112.0000,111.0500,111.8200,4379332
2026-04-06,111.9000,112.5200,111.6600,111.7600,3803868
2026-04-02,110.1400,111.8700,109.7000,111.7000,5590726
2026-04-01,111.2500,111.8750,110.7050,111.2400,9856888
2026-03-31,109.1400,111.2600,108.8200,110.8600,10145472
2026-03-30,107.8950,108.6600,107.0664,107.9600,9490523
2026-03-27,108.3150,108.5100,106.7200,107.0400,9594623
2026-03-26,110.6100,110.8800,108.6800,108.8100,9766029
2026-03-25,111.8800,112.5300,110.8400,111.4400,6097933
2026-03-24,112.1500,112.4900,111.0600,111.1300,8634464
2026-03-23,112.8700,113.4500,112.2100,112.7100,8557784
