timestamp,open,high,low,close,volume
2026-09-15,546.5650,548.1900,540.1050,542.1100,5898641
2026-09-14,539.9900,546.7600,537.7300,541.5000,10636498
2026-09-11,568.8280,572.8000,564.0000,568.5300,5204920
2026-09-10,561.5400,565.1500,557.0900,560.2800,6620974
2026-09-09,569.9000,577.5700,569.9000,574.2900,3467084
2026-09-08,578.7000,580.5700,571.9950,573.7300,8300280
2026-09-04,560.5000,569.4000,557.7200,567.0100,9456112
2026-09-03,546.7700,553.7400,540.0700,552.6000,5623455
2026-09-02,545.2250,553.1900,541.7200,550.4800,5129884
2026-09-01,546.4800,549.8800,540.8500,545.2200,6195102
2026-08-31,554.3800,558.4300,552.7900,556.6300,4325053
2026-08-28,568.7200,570.1200,552.3000,553.1100,6468427
2026-08-27,569.3650,573.2100,562.5400,573.0000,6566933
2026-08-26,554.4700,557.7800,550.5400,555.7700,3864963
2026-08-25,555.3750,560.3800,550.6600,555.8200,6046222
2026-08-24,554.1750,554.1750,540.7500,546.8000,7743315
2026-08-21,569.4400,569.4400,556.1000,560.4200,9619330
2026-08-20,559.3750,566.0000,557.2600,562.6500,6240638
2026-08-19,575.0600,576.8350,556.3150,560.9200,8713301
2026-08-18,574.3550,577.7600,562.6300,569.7700,11364389
2026-08-17,593.7150,600.3699,591.5000,594.0700,7700538
2026-08-14,587.5100,590.3300,581.8700,587.8200,5524295
2026-08-13,586.3800,597.9500,585.0100,589.1200,6785984
2026-08-12,590.5500,590.5700,583.7900,584.8300,7414056
2026-08-11,578.5700,578.6000,569.1700,572.9300,5028983
2026-08-10,585.9900,586.2400,569.2000,569.4100,6476713
2026-08-07,583.5800,586.0900,572.3200,582.7000,6505032
2026-08-06,565.4750,580.4300,559.5600,571.4800,6231651
2026-08-05,574.4100,585.0000,568.3800,569.7000,6209431
2026-08-04,564.2920,578.6300,562.2800,575.7100,9566210
2026-08-03,530.4300,548.4900,524.7700,545.4600,7283763
2026-07-31,557.5000,561.4400,535.2400,540.5300,14673890
2026-07-30,529.8580,544.6400,524.5600,538.9000,14175001
2026-07-29,525.9900,532.1700,503.6300,504.2200,19440901
